RUN	TIME	DATA	FOR	INSERTION SORT	METHOD:

SIZE N	NANOSECONDS
500	56071971
1000	221213573
1500	501143151
2000	893467092
2500	1388037293
3000	1998697022
3500	2705937898
4000	3560058182
4500	4490029297
5000	5802309337
6000	8347255273
7000	11398444620
8000	14966250039
9000	18955366811
10000	23535826170
